Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Mental_Health_Benefit,Musical_Features
Sher Aaya Sher,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Gully Boy (Original Motion Picture Soundtrack),48,0.832,0.657,7,-7.755,1,0.209,0.0433,2.93E-05,0.0752,0.756,104.007,134351,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Roz,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Baaraat,48,0.833,0.639,5,-6.964,1,0.0676,0.152,0,0.101,0.448,102.989,219240,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Let's Nacho,Nucleya,52,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack) [Deluxe Edition],47,0.742,0.947,0,-3.749,1,0.0321,0.0905,0.0221,0.0721,0.88,130.041,215075,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Boba Tunnel,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Chotushkone,49,0.598,0.537,9,-8.281,1,0.0326,0.285,0,0.13,0.397,131.955,247510,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
PYAAR HUMARA,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,47,0.787,0.764,11,-5.64,0,0.0446,0.573,0.0571,0.111,0.38,103.016,167763,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Mirza,Lost Stories,47,"['hindi indie', 'indian edm', 'indian indie']",Mirza,48,0.714,0.578,11,-6.526,0,0.0636,0.0946,0.00161,0.105,0.889,109.072,60000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Gur Nalo Ishq Mitha - The Yoyo Remake,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Gur Nalo Ishq Mitha - The Yoyo Remake,48,0.774,0.848,2,-2.712,1,0.0392,0.0299,0.00932,0.0491,0.607,100.027,211673,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Prema Swaramulalo,Hriday Gattani,45,['hindi indie'],24 (Original Motion Picture Soundtrack),47,0.493,0.533,4,-10.636,1,0.0409,0.552,1.39E-05,0.134,0.468,142.405,289266,neutral,neutral,neutral
KATTAR KARACHI,Talha Anjum,71,"['desi hip hop', 'hindi hip hop', 'pakistani hip hop', 'urdu hip hop']",FOR THA DOGS,49,0.717,0.687,1,-5.548,1,0.264,0.112,0,0.119,0.528,167.142,196886,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
"Kuley Kuley (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,47,0.751,0.731,8,-4.093,1,0.142,0.307,1.03E-05,0.0454,0.868,79.999,189000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
DELULU DANCE,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,47,0.773,0.798,7,-7.592,0,0.0416,0.2,0.000604,0.108,0.215,111.95,240000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
I’M Your Dj Tonight,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,46,0.852,0.652,1,-6.471,0,0.152,0.112,0.00129,0.555,0.572,129.99,276178,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
BAWE MAIN CHECK,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,47,0.776,0.827,5,-6.08,0,0.0506,0.0309,1.12E-05,0.282,0.684,137.961,187528,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
All I Need,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,47,0.786,0.356,6,-11.432,1,0.0462,0.771,0.694,0.1,0.519,116.023,153693,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
100 words,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",cold/mess,47,0.518,0.44,3,-14.536,1,0.034,0.888,0.457,0.111,0.575,76.154,210420,neutral,neutral,neutral
Sinner,King,70,"['desi pop', 'hindi hip hop']",Khwabeeda,46,0.731,0.694,5,-4.314,0,0.0896,0.721,0,0.154,0.656,62.995,229104,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
"Dheeth (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,46,0.666,0.874,10,-3.596,0,0.038,0.184,0,0.0685,0.29,100.057,170400,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Tune Kaha,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Tune Kaha,47,0.362,0.763,3,-8.514,1,0.0589,0.015,0.00481,0.237,0.431,187.291,216885,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Mera Bhai,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,47,0.663,0.81,5,-5.826,1,0.385,0.286,0.00034,0.342,0.464,129.062,182774,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Kahaani,Dream Note,51,"['desi pop', 'hindi indie', 'indian indie']",Kahaani,48,0.569,0.386,2,-11.702,1,0.0304,0.735,0.00137,0.132,0.292,166.124,188200,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
Batti,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Nayaab,46,0.874,0.681,1,-7.774,1,0.32,0.0352,0,0.0862,0.573,143.89,188333,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Sarkaare,King,70,"['desi pop', 'hindi hip hop']",NEW LIFE,48,0.472,0.794,5,-5.797,0,0.116,0.615,0,0.248,0.605,70.01,163319,Frustration,"Tension Release, Emotional Stability","Steady Rhythm, Minor Harmony, Low Pitch"
Tum Saath Rehnaa,King,70,"['desi pop', 'hindi hip hop']",Tum Saath Rehnaa,48,0.443,0.668,11,-12.031,1,0.294,0.693,0.000443,0.0579,0.512,98.072,215536,neutral,neutral,neutral
NO CHINA,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",HARD DRIVE Vol. 1,48,0.845,0.56,1,-7.248,1,0.162,0.328,0,0.288,0.411,118.037,198305,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Good Boy,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Good Boy,46,0.751,0.795,11,-5.124,0,0.0684,0.1,0,0.118,0.888,97.986,161020,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Champions,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,47,0.721,0.557,8,-6.236,1,0.31,0.348,0.00196,0.114,0.624,79.749,213937,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Dope Shope,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Chaar Ikke,47,0.754,0.914,6,-1.999,0,0.0548,0.424,2.62E-05,0.116,0.865,136.032,211764,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
socha na tha,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,48,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133,144250,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Zeher,Hanita Bhambri,48,"['hindi indie', 'indian indie', 'indian singer-songwriter']",Zeher,46,0.661,0.521,11,-9.223,1,0.0534,0.639,1.67E-05,0.196,0.452,120.096,213000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Khatam Hue Waande,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Khatam Hue Waande,46,0.756,0.903,11,-2.088,0,0.14,0.232,0,0.0548,0.729,99.995,193882,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Villain,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Still Here,46,0.842,0.657,6,-5.158,1,0.241,0.0702,0,0.585,0.274,99.986,218400,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Chal Mere Ghar,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,47,0.791,0.652,10,-3.205,0,0.0402,0.651,0,0.0685,0.436,129.995,153031,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
kya karoon?,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,49,0.723,0.56,5,-8.324,0,0.035,0.645,7.42E-06,0.228,0.619,145.022,200275,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
High Hukku (feat. Nikhita Gandhi),King,70,"['desi pop', 'hindi hip hop']",NEW LIFE,46,0.772,0.459,10,-8.341,1,0.102,0.316,1.54E-05,0.142,0.315,88.033,182769,neutral,neutral,neutral
dooriyan,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,47,0.735,0.593,11,-7.473,1,0.0885,0.731,0.178,0.135,0.475,160.07,161624,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Saansein,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Karwaan,48,0.693,0.518,1,-9.146,1,0.0282,0.653,0.531,0.138,0.374,128.041,266041,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Soyi Nahi,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",SHAKTI,46,0.495,0.596,6,-12.821,0,0.196,0.728,0.00714,0.101,0.608,111.611,251075,neutral,neutral,neutral
Laung Gawacha,Nucleya,52,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",Bass Rani,45,0.573,0.9,0,-4.855,0,0.0368,0.00498,0.00932,0.0952,0.415,91.988,213913,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Khoya,Zariya,32,"['hindi indie', 'indian singer-songwriter']",Khoya,45,0.609,0.539,0,-8.087,1,0.0284,0.138,0.00014,0.286,0.413,99.995,178197,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
KR L$DA SIGN,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",KR L$DA SIGN,45,0.709,0.716,2,-4.644,1,0.246,0.129,0,0.243,0.608,139.961,492160,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
36,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",HARD DRIVE Vol. 1,46,0.776,0.804,10,-5.338,0,0.119,0.101,0,0.0861,0.847,163.945,238170,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Lil Bunty,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Lil Bunty,45,0.869,0.826,2,-4.186,1,0.333,0.211,0,0.0696,0.503,110.05,192000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Makasam,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Makasam,45,0.954,0.711,1,-7.324,1,0.278,0.39,0,0.532,0.542,119.913,321500,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Kaanch Ke Ghar,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Kaanch Ke Ghar,44,0.821,0.591,11,-7.768,0,0.324,0.493,0,0.103,0.455,129.662,332538,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Nanchaku,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Nanchaku,44,0.813,0.664,2,-8.793,1,0.318,0.142,0,0.173,0.44,140.103,193116,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Namastute,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Namastute,45,0.753,0.841,8,-6.448,0,0.286,0.107,9.58E-06,0.158,0.764,80.482,120187,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Mere Gully Mein,Ranveer Singh,57,"['desi hip hop', 'hindi hip hop', 'modern bollywood']",Gully Boy (Original Motion Picture Soundtrack),45,0.844,0.617,11,-12.748,0,0.116,0.00502,0,0.0558,0.159,108,185000,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Azadi,Dub Sharma,41,"['desi hip hop', 'hindi hip hop']",Gully Boy (Original Motion Picture Soundtrack),46,0.846,0.693,9,-8.041,1,0.217,0.784,0.000413,0.339,0.456,97.94,155470,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
KTMBK,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",KTMBK,46,0.898,0.435,6,-8.834,1,0.0489,0.555,0,0.139,0.836,115.034,154434,Anger,"Anger Management, Tension Release","Dynamic Rhythm, Complex Harmony, High Intensity"
Pablo,King,70,"['desi pop', 'hindi hip hop']",Champagne Talk,44,0.731,0.73,2,-6.302,1,0.123,0.411,0,0.052,0.503,79.999,279120,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Sajke,Panther,53,"['desi hip hop', 'hindi hip hop']",Chahat,44,0.856,0.63,7,-5.869,1,0.151,0.623,0,0.355,0.643,132.057,260000,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Ekhon Onek Raat,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Hemlock Society (Original Motion Picture Soundtrack),46,0.727,0.564,9,-9.797,1,0.0567,0.707,0,0.104,0.615,97.008,225976,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Say My Name,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Say My Name,44,0.935,0.649,0,-9.107,1,0.299,0.205,0,0.105,0.449,126.942,162519,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Chick Chiklet,Baba Sehgal,54,"['desi hip hop', 'hindi hip hop']",Rikshavodu,45,0.886,0.944,0,-3.403,1,0.103,0.0919,9.84E-05,0.584,0.734,94.948,335597,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Natkhat,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",न,46,0.91,0.57,2,-7.393,1,0.206,0.132,0,0.0509,0.683,144.999,192000,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Dilnawaz,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Vaaqif,44,0.496,0.568,4,-7.968,0,0.0333,0.217,1.69E-05,0.094,0.236,88.918,207530,Loneliness,"Emotional Comfort, Self-Expression, Coping with Isolation","Rhythm, Warm Timbre, Moderate Tempo, Nostalgic Themes"
Death Wish,Talha Anjum,71,"['desi hip hop', 'hindi hip hop', 'pakistani hip hop', 'urdu hip hop']",Worth The Wait,47,0.747,0.33,5,-12.178,1,0.267,0.323,0,0.297,0.304,122.002,157868,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
STILL NUMBER 1,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",STILL NUMBER 1,44,0.844,0.783,2,-4.751,1,0.165,0.169,0,0.281,0.493,104.025,235961,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
NGL,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Time Will Tell,45,0.759,0.839,1,-5.291,0,0.118,0.202,1.57E-06,0.295,0.561,120.033,240000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
JASHAN-E-HIP-HOP,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",HARD DRIVE Vol. 1,46,0.824,0.81,11,-6.371,1,0.202,0.169,0,0.134,0.476,131.037,172213,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Kadam,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Karwaan,45,0.55,0.356,9,-14.142,1,0.0405,0.637,0.187,0.32,0.343,159.911,214603,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
SAZA,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,44,0.649,0.524,8,-8.254,1,0.277,0.562,2.28E-05,0.181,0.324,188.146,228563,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Aisi Raaton,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Aisi Raaton,45,0.517,0.443,9,-8.946,1,0.0529,0.88,0.000141,0.0989,0.538,176.035,218930,neutral,neutral,neutral
SHOTS FIRED,Talha Anjum,71,"['desi hip hop', 'hindi hip hop', 'pakistani hip hop', 'urdu hip hop']",FOR THA DOGS,47,0.75,0.764,4,-6.765,1,0.251,0.402,0,0.0715,0.817,85.042,154323,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Chalo Chalein,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Chalo Chalein,46,0.461,0.5,1,-9.828,1,0.0614,0.00245,0.03,0.116,0.572,76.176,184370,Loneliness,"Emotional Comfort, Self-Expression, Coping with Isolation","Rhythm, Warm Timbre, Moderate Tempo, Nostalgic Themes"
Sarkaare,King,70,"['desi pop', 'hindi hip hop']",Sarkaare,45,0.472,0.794,5,-5.797,0,0.116,0.615,0,0.248,0.605,70.01,163319,Frustration,"Tension Release, Emotional Stability","Steady Rhythm, Minor Harmony, Low Pitch"
Yeh Zindagi Hai,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,44,0.633,0.616,9,-7.395,1,0.0288,0.126,0,0.0779,0.7,131.073,249160,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Bandey,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,45,0.657,0.622,8,-7.506,1,0.0299,0.0112,0.00076,0.109,0.611,92.023,305335,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Bure Din,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Bure Din,44,0.942,0.627,2,-8.103,0,0.129,0.25,0,0.0765,0.785,120.019,265000,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Dependent Kauve,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Dependent Kauve,45,0.701,0.709,10,-5.077,0,0.267,0.227,0,0.24,0.844,87.078,336551,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Kohra,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Nayaab,44,0.735,0.548,4,-8.744,0,0.179,0.343,0,0.603,0.311,140.023,246129,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
GUESS,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",GUESS,45,0.616,0.916,10,-3.234,0,0.258,0.0927,0,0.353,0.87,145.39,168827,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Pause,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Pause,46,0.619,0.277,11,-11.771,1,0.0322,0.892,0.0542,0.116,0.435,111.576,171149,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
"Tu Hai Kahaan - From ""Do Aur Do Pyaar""",The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']","Tu Hai Kahaan (From ""Do Aur Do Pyaar"")",46,0.538,0.407,3,-11.04,1,0.0297,0.747,0.00117,0.104,0.468,80.913,219153,neutral,neutral,neutral
Let's Crack It! - Student Anthem,Naezy,41,"['desi hip hop', 'hindi hip hop']",Let's Crack It! - Student Anthem,43,0.83,0.645,4,-8.278,0,0.283,0.247,8.88E-05,0.585,0.262,108.195,154608,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Tanning,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,45,0.616,0.638,7,-7.575,1,0.0865,0.00347,0.00213,0.238,0.814,180.017,176564,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Stay Away,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",For The Day One$,45,0.72,0.672,5,-5.252,0,0.0366,0.0743,0,0.143,0.4,96.981,173195,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Gunehgar,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Gunehgar,44,0.643,0.906,1,-4.15,1,0.31,0.105,0,0.861,0.541,94.259,163404,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
tere bina - Acoustic,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",tere bina (Acoustic),45,0.838,0.251,10,-9.992,1,0.0503,0.714,0,0.0459,0.893,107.972,132000,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Vibe Hai,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Kohinoor,45,0.646,0.812,11,-6.861,1,0.621,0.237,0,0.777,0.829,104.232,201000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Gandhi Money,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Kohinoor,44,0.807,0.674,1,-6.94,1,0.119,0.0174,6.04E-06,0.061,0.788,94.984,175500,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Sajke,Panther,53,"['desi hip hop', 'hindi hip hop']",Sajke,44,0.856,0.63,7,-5.869,1,0.151,0.623,0,0.355,0.643,132.057,260000,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
One Side,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",One Side,45,0.64,0.813,1,-5.735,1,0.262,0.0418,0,0.801,0.553,91.834,161839,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Joint in the Booth,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,44,0.687,0.706,6,-6.949,0,0.186,0.523,0.000173,0.151,0.755,104.254,166285,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Mere Hisse Ki Mohabbat,DAKU,39,['hindi indie'],Mere Hisse Ki Mohabbat,45,0.621,0.671,8,-9.536,1,0.301,0.772,0.000317,0.114,0.647,196.032,181814,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Chalis,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Chalis,44,0.533,0.645,1,-3.852,1,0.215,0.157,0,0.0546,0.605,95.616,184421,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Disco Rap,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,45,0.701,0.605,9,-7.742,1,0.387,0.0279,0,0.269,0.836,99.914,222787,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Kasoor - Acoustic,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Shehron Ke Raaz,43,0.62,0.111,6,-14.142,1,0.0355,0.896,0.00135,0.113,0.477,127.96,213306,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Zindagi,Ajey Nagar (CarryMinati),48,['hindi hip hop'],Zindagi,43,0.707,0.571,5,-8.427,0,0.168,0.0428,0,0.0981,0.443,87.555,204545,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Mein,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Mein,41,0.734,0.875,11,-5.379,0,0.154,0.733,0,0.227,0.945,94.88,176025,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Glassy,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Glassy,43,0.801,0.896,6,-4.451,1,0.263,0.247,0,0.104,0.734,96.037,222249,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Punya Paap,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,43,0.781,0.488,1,-9.138,1,0.317,0.0515,9.68E-06,0.1,0.449,139.899,180558,Anger,"Anger Management, Tension Release","Dynamic Rhythm, Complex Harmony, High Intensity"
